Method,Perc nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,Comments
RS,2,5,10,"[0.24906602942210077, 0.2493363537572383, 0.24645533889231336, 0.24848648648648683, 0.24744492391551198, 0.2443405405405404, 0.24621621621621656, 0.25030952136373164, 0.24932675773011964, 0.24935379557228382]","[4.67431116104126, 4.6579225063323975, 4.662559509277344, 4.668674468994141, 4.680274486541748, 4.658632755279541, 4.664650201797485, 4.660004138946533, 4.66595196723938, 4.672248363494873]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,5,5,10,"[0.24914557379561236, 0.24765591416155727, 0.2454662716150314, 0.2494510638297888, 0.24957855482618677, 0.24474893617021481, 0.2481170212765974, 0.24803471332564547, 0.24935293266242806, 0.2481609665142665]","[5.404602289199829, 5.400555610656738, 5.407528400421143, 5.392224073410034, 5.408135175704956, 5.394452333450317, 5.39951491355896, 5.396805763244629, 5.395671606063843, 5.402066707611084]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,10,5,10,"[0.24996322015726, 0.2476241280002035, 0.24510333233822681, 0.24968359788359745, 0.24949662404644474, 0.2448317460317464, 0.24700423280423334, 0.24937262584792066, 0.2485375102421922, 0.24882122161033726]","[6.5767903327941895, 6.575021028518677, 6.572758197784424, 6.566616058349609, 6.584320783615112, 6.567712306976318, 6.575619697570801, 6.571792125701904, 6.580064058303833, 6.577585458755493]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RS,25,5,10,"[0.24918696819532601, 0.24712284228997738, 0.24591904272257484, 0.24958945147679315, 0.2489983335106202, 0.24494683544303897, 0.24636455696202575, 0.24846910310332163, 0.24894430345978139, 0.2491135694784246]","[10.16766905784607, 10.160691499710083, 10.17102575302124, 10.164998292922974, 10.171740293502808, 10.171784400939941, 10.179144620895386, 10.16796612739563, 10.176116943359375, 10.178829193115234]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,2,5,10,"[0.6360085274968129, 0.6259876064810029, 0.62101861283233, 0.6364897792737286, 0.6256202902817308, 0.6242755522503274, 0.6206067177240743, 0.6374513744891827, 0.6289688585714589, 0.6252459040169838]","[8.529786348342896, 8.50368332862854, 8.540734052658081, 8.50389313697815, 8.537523984909058, 8.570478916168213, 8.52543044090271, 8.552396774291992, 8.524581670761108, 8.544317722320557]","[0.2201020297405843, 0.2230420822080939, 0.21768073492211462, 0.22319441743902238, 0.21921676778819676, 0.2197956548333753, 0.21990171990172036, 0.21881027869543065, 0.22167338927115543, 0.2260242341609311]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,5,5,10,"[0.6250098174747465, 0.6153110824944408, 0.6102166694107247, 0.625800022054739, 0.6148398234684218, 0.613622472536138, 0.6099394378878713, 0.6263788973591691, 0.6180255382971733, 0.6144374856611589]","[9.236336708068848, 9.210454225540161, 9.25583815574646, 9.206926822662354, 9.264057159423828, 9.278554439544678, 9.248566150665283, 9.252636909484863, 9.226505041122437, 9.252293109893799]","[0.22353242758267114, 0.22323685488055856, 0.23174544946371514, 0.2550640338792789, 0.23859313938341395, 0.22986035562055396, 0.20946739430781924, 0.20870787007138647, 0.2108641388327609, 0.2344667001367695]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,10,5,10,"[0.6223347763473104, 0.6126650108577265, 0.6075861094044885, 0.623121660844744, 0.6121605904754591, 0.6109439215182523, 0.6073289980962236, 0.6235633085891916, 0.6152847739404848, 0.6116978538036729]","[10.4103262424469, 10.374091863632202, 10.4413001537323, 10.393353462219238, 10.446544408798218, 10.464538812637329, 10.417548418045044, 10.433400630950928, 10.396343469619751, 10.417601108551025]","[0.20669344042837703, 0.21910423405309473, 0.22748281943684606, 0.23289305063885643, 0.2357024079473042, 0.21995148063882733, 0.21380471380471236, 0.20877117595739542, 0.2108927990811487, 0.2242800745648576]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
IS,25,5,10,"[0.6198353607532345, 0.6102543744251824, 0.6051440373003202, 0.6206593211459919, 0.6097695233168855, 0.6085367584800505, 0.6049222357736265, 0.6210607978497243, 0.6127613291974604, 0.6092279386070849]","[13.37893557548523, 13.362829208374023, 13.40427279472351, 13.356626987457275, 13.41396951675415, 13.439691305160522, 13.394408226013184, 13.399279356002808, 13.359582424163818, 13.40596079826355]","[0.2147170962330348, 0.2193744252673239, 0.21980073856983814, 0.2271229429958151, 0.22053905106346458, 0.21979656293215522, 0.22990985807441544, 0.20977283032713104, 0.21430423523627584, 0.2230999783708041]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",Not enough nodes in all categories
RR,2,5,10,"[0.2505839717018786, 0.24786294385477334, 0.24545892325635663, 0.2509975817923176, 0.2508663493847027, 0.24576557610241748, 0.24747567567567444, 0.2490574928641482, 0.2485335528236896, 0.24977587051890407]","[4.160166025161743, 4.156299829483032, 4.167280197143555, 4.151442527770996, 4.176908493041992, 4.160994052886963, 4.164225816726685, 4.157333612442017, 4.167976379394531, 4.166908502578735]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
RR,5,5,10,"[0.2502715996726784, 0.24739792303365515, 0.24437672045301956, 0.25117581187010085, 0.24900594056211606, 0.2446535050391938, 0.2473672116461375, 0.24928230886938937, 0.2494419940428582, 0.2488031718846557]","[4.787846088409424, 4.774734020233154, 4.7763073444366455, 4.766906023025513, 4.782205820083618, 4.777896165847778, 4.77436375617981, 4.781757593154907, 4.777091026306152, 4.778498649597168]",,"[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",
